Show,EpId,ClipId,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,Name,0,1,2,3,4,5,6,7,8,9,10,11,12
HeStutters,0,0,31900320,31948320,0,0,0,0,0,0,0,0,3,1,0,0,HeStutters_0_0,-392.17282,63.35069,4.8334365,6.9778395,2.1696913,-3.5744252,-7.0913577,-1.9783448,-8.984579,-4.7241316,-3.345275,-6.573855,-7.026947
HeStutters,0,1,31977120,32025120,0,0,0,0,0,0,0,0,3,1,0,0,HeStutters_0_1,-336.5447,60.795284,-2.9175434,10.25362,-11.466489,2.7076561,-10.675123,-4.653667,-14.433004,-5.926201,-1.9348123,-8.946337,-8.399075
HeStutters,0,2,34809760,34857760,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_2,-313.66693,62.418663,-1.3340014,36.037716,-2.6509163,-11.02119,-9.310137,-1.5621384,-13.035161,-8.655548,-4.3366838,-7.3725996,-7.1389894
HeStutters,0,3,35200640,35248640,0,0,1,0,0,0,0,0,2,0,0,0,HeStutters_0_3,-352.49725,50.207836,-5.8790593,3.1932945,-4.6160555,-5.762986,-4.1870275,-0.7150442,-14.383714,-3.3047962,-4.146274,-8.412236,-2.4457872
HeStutters,0,4,35721920,35769920,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_4,-341.3533,68.85799,-3.9597144,8.430685,-0.56102973,-4.473868,-9.2208185,-3.2015622,-11.855061,-4.699773,-2.4148471,-7.8037615,-6.036354
HeStutters,0,5,36435040,36483040,0,0,1,0,0,0,0,0,2,0,0,0,HeStutters_0_5,-350.96436,70.8409,1.7595752,22.589973,7.785813,-5.38662,-10.450264,-1.4016881,-9.730509,-5.115983,-6.5377593,-6.979672,-7.1980014
HeStutters,0,6,37251200,37299200,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_6,-351.6003,79.16149,10.3445835,4.350781,-14.230148,-3.4461052,-3.8061109,-6.4104967,-7.6949916,-1.4435136,-7.135466,-3.231779,-8.599639
HeStutters,0,7,37784640,37832640,0,0,0,0,0,0,0,0,3,2,0,0,HeStutters_0_7,-418.19455,67.52143,9.869955,22.636238,4.324728,1.1519351,-6.369397,0.23624475,-12.985676,-0.7529394,-2.4572408,-6.0349207,-8.349541
HeStutters,0,8,37963520,38011520,0,0,0,0,0,0,0,0,3,2,0,0,HeStutters_0_8,-407.68668,51.741196,2.5899138,6.4074507,0.74251914,1.4601047,-4.593389,0.80577487,-3.8156068,2.1192663,-3.1038444,-1.723864,-2.7127311
HeStutters,0,9,41417440,41465440,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_9,-322.53464,84.01163,-0.46412382,10.802255,0.253166,-0.5711335,-7.632134,-2.4970345,-8.864997,-2.7419207,-5.09412,-9.86523,-3.8161693
HeStutters,0,10,41861760,41909760,0,0,0,0,0,0,0,1,3,0,0,0,HeStutters_0_10,-409.4399,61.835735,11.941999,23.786076,-0.019956516,-0.49443877,-7.668435,4.2618804,-15.007185,-3.078003,-1.7038081,-9.908123,-4.152675
HeStutters,0,11,42928800,42976800,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_11,-310.75836,27.546114,-17.378853,24.965218,-20.023012,1.1677467,-13.532716,-7.309594,-3.0973842,-5.1103797,-7.8328605,-5.4899387,-3.3513813
HeStutters,0,12,43139360,43187360,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_12,-434.34103,57.685276,7.83678,17.07041,6.434163,1.5724196,-7.1287236,-2.325164,-6.440954,-4.549077,-1.6944411,-5.3900895,-5.644975
HeStutters,0,13,46154240,46202240,0,0,0,0,0,1,0,1,2,0,0,0,HeStutters_0_13,-341.84982,61.999645,-0.47937393,9.2234,2.5007112,-9.957643,-7.6787553,-1.9966366,-14.824736,-0.81299657,-4.367767,-8.509873,-4.4980035
HeStutters,0,14,49133440,49181440,0,0,0,1,0,0,0,0,2,0,0,0,HeStutters_0_14,-298.01797,71.143105,-5.6073556,13.226311,-11.565174,-4.5432053,-11.515868,0.5731755,-13.835963,-4.600275,-1.7700213,-8.727123,-6.6570764
HeStutters,0,15,49411840,49459840,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_15,-392.3434,64.79738,15.740828,5.914221,-3.1243143,-5.967298,-3.6175637,-4.324799,-6.54453,-1.9522434,-3.0977368,-7.1641254,-4.3600063
HeStutters,0,16,51492320,51540320,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_16,-280.3825,60.39518,-4.5467725,6.075218,-10.967949,-6.3621354,-12.122167,-1.436777,-15.154408,-6.941141,-4.144702,-9.300904,-6.7885756
HeStutters,0,17,6970880,7018880,0,0,0,0,0,0,0,0,3,1,0,0,HeStutters_0_17,-383.23596,49.98627,2.6920364,14.354122,1.7774245,-2.4203215,-12.342792,1.0719693,-9.256072,-6.607179,-0.8089442,-9.527817,-5.364854
HeStutters,0,18,8215200,8263200,0,0,0,1,0,0,0,0,2,1,0,0,HeStutters_0_18,-360.24127,66.061165,-1.4538615,11.259468,-4.462042,-0.25393215,-5.415998,-6.300483,-7.7692266,-6.4999933,-2.8341768,-6.0359483,-7.48303
